This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202201 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
192607,   1.0874,   0.9349,  -0.0695,   5.7168,   1.9620,   1.4222
192608,   0.7030,   1.2300,   5.3842,   2.7154,   2.6930,   6.3154
192609,  -2.9117,  -0.1303,  -0.4374,   1.4287,   0.0704,  -0.7967
192610,  -3.8196,  -4.5860,  -2.0112,  -3.5898,  -2.3398,  -4.0970
192611,   3.1806,   3.7233,   2.0944,   3.1292,   2.8952,   3.4614
192612,   2.6862,   1.9547,   3.2639,   2.9678,   2.6016,   2.3950
192701,  -0.7991,  -0.4209,   3.9316,  -0.2621,   0.0358,   4.4635
192702,   3.7129,   6.1231,   6.6192,   5.0044,   3.5692,   8.6305
192703,  -1.8324,  -1.6153,  -3.1676,   1.3025,   0.2287,  -2.4764
192704,  -1.5412,   1.2685,   3.4796,   3.0510,  -0.7753,  -0.5452
192705,   5.4586,   3.5902,  13.3256,   5.4076,   5.0903,   7.4921
192706,  -1.5517,   1.4073,  -3.9474,  -0.9628,  -3.0138,  -1.6326
192707,   4.2702,   5.2347,   3.9846,   9.2637,   6.7228,   7.2603
192708,   2.4503,  -2.2044,   0.8600,   3.9309,   1.2184,  -1.9651
192709,   2.2496,   2.2316,   0.3990,   5.3697,   4.4213,   5.9674
192710,  -0.2072,  -2.1458,  -5.8357,  -3.5889,  -4.3444,  -6.6219
192711,  10.3238,   8.0620,  10.2275,   7.0845,   6.7295,   6.6346
192712,   5.7010,   2.6016,   2.4506,   2.4925,   1.8620,   3.4755
192801,   3.2211,   2.7804,   3.5948,  -0.4427,  -0.4160,  -2.3168
192802,  -4.8858,  -1.7203,  -4.1271,  -0.6772,  -1.1358,  -2.7296
192803,   7.3978,   8.6229,   9.4570,  12.3241,   6.1000,   7.8254
192804,   4.6650,  10.6845,   9.9723,   2.9336,   5.9573,   4.4979
192805,   7.1742,   1.9540,   2.5740,   2.5750,  -0.0551,   0.6388
